"CircleName","RegionName","DivisionName","OfficeName","Pincode","OfficeType","Delivery","District","StateName","Latitude","Longitude"
"Kerala Circle","Kochi Region","Idukki Division","Edamalakudi BO","685612","BO","Delivery","IDUKKI","KERALA","10.1988760","76.9587510"
"Kerala Circle","Kochi Region","Idukki Division","Ezhallur BO","685605","BO","Delivery","IDUKKI","KERALA","9.9436840","76.7264370"
"Kerala Circle","Kochi Region","Idukki Division","Ezhumuttom BO","685605","BO","Delivery","IDUKKI","KERALA","9.9150470","76.7637270"
"Kerala Circle","Kochi Region","Idukki Division","Perumpillichira BO","685605","BO","Delivery","IDUKKI","KERALA","9.8987680","76.7402260"
"Kerala Circle","Kochi Region","Idukki Division","Muniyara BO","685571","BO","Delivery","IDUKKI","KERALA","9.9298350","77.0744990"
"Kerala Circle","Kochi Region","Idukki Division","C Kuthumkal BO","685566","BO","Delivery","IDUKKI","KERALA","9.9381550","77.1053670"
"Kerala Circle","Kochi Region","Idukki Division","Mammattikanam BO","685566","BO","Delivery","IDUKKI","KERALA","9.9578770","77.1288650"
"Kerala Circle","Kochi Region","Idukki Division","Ottalloor BO","685586","BO","Delivery","IDUKKI","KERALA","9.8427900","76.7032100"
"Kerala Circle","Kochi Region","Idukki Division","Vadakkummury BO","685586","BO","Delivery","IDUKKI","KERALA","10.4285560","76.1174990"
"Kerala Circle","Kochi Region","Idukki Division","Vandamattom BO","685582","BO","Delivery","IDUKKI","KERALA","9.9428540","76.7533620"
"Kerala Circle","Kochi Region","Idukki Division","Moolamattom East BO","685589","BO","Delivery","IDUKKI","KERALA","9.7903550","76.8533580"
"Kerala Circle","Kochi Region","Idukki Division","Pathippally BO","685589","BO","Delivery","IDUKKI","KERALA","9.7735000","76.8628170"
"Kerala Circle","Kochi Region","Idukki Division","LETCHMI ESTATE BO","685612","BO","Delivery","IDUKKI","KERALA","10.0631350","77.0398660"
"Kerala Circle","Kochi Region","Idukki Division","Mullarikudy BO","685571","BO","Delivery","IDUKKI","KERALA","9.9118700","77.0792930"
"Kerala Circle","Kochi Region","Idukki Division","Panickankudy BO","685571","BO","Delivery","IDUKKI","KERALA","9.9269570","77.0636420"
"Kerala Circle","Kochi Region","Idukki Division","Sahayagiri BO","685620","BO","Delivery","IDUKKI","KERALA","10.2558980","77.1674000"
"Kerala Circle","Kochi Region","Idukki Division","Edadidukki BO","685589","BO","Delivery","IDUKKI","KERALA","9.8103560","76.8355060"
"Kerala Circle","Kochi Region","Idukki Division","Ilappally BO","685589","BO","Delivery","IDUKKI","KERALA","9.7722280","76.8432660"
"Kerala Circle","Kochi Region","Idukki Division","Munnar Colony BO","685612","BO","Delivery","IDUKKI","KERALA","10.0870710","77.0626090"
"Kerala Circle","Kochi Region","Idukki Division","Ellumpuram BO","685587","BO","Delivery","IDUKKI","KERALA","9.8053690","76.7495230"
"Kerala Circle","Kochi Region","Idukki Division","Thudanganad BO","685587","BO","Delivery","IDUKKI","KERALA","9.8226240","76.7259080"
"Kerala Circle","Kochi Region","Idukki Division","Parapuzha BO","685582","BO","Delivery","IDUKKI","KERALA","9.9797410","76.7251220"
"Kerala Circle","Kochi Region","Alleppey Division","Manappuram BO","688526","BO","Delivery","ALAPPUZHA","KERALA","9.7830000","76.3640000"
"Kerala Circle","Kochi Region","Alleppey Division","Panavally BO","688526","BO","Delivery","ALAPPUZHA","KERALA","9.8160000","76.3350000"
"Kerala Circle","Kochi Region","Alleppey Division","Mararikulam North BO","688523","BO","Delivery","ALAPPUZHA","KERALA","9.5990000","76.3120000"
"Kerala Circle","Kochi Region","Alleppey Division","Kokkothamangalam BO","688527","BO","Delivery","ALAPPUZHA","KERALA","9.6814500","76.3745400"
"Kerala Circle","Kochi Region","Alleppey Division","Thuravoor South BO","688532","BO","Non Delivery","ALAPPUZHA","KERALA","9.7640000","76.3070000"
"Kerala Circle","Kochi Region","Alleppey Division","Thottappally BO","688561","BO","Delivery","ALAPPUZHA","KERALA","9.3116700","76.3840900"
"Kerala Circle","Kochi Region","Alleppey Division","Komalapuram BO","688006","BO","Non Delivery","ALAPPUZHA","KERALA","9.5375400","76.3434700"
"Kerala Circle","Kochi Region","Alleppey Division","Vembanad Kayal BO","688006","BO","Delivery","ALAPPUZHA","KERALA","9.5967700","76.3984500"
"Kerala Circle","Kochi Region","Alleppey Division","Pandarakulam BO","688009","BO","Non Delivery","ALAPPUZHA","KERALA","9.4421800","76.3786900"
"Kerala Circle","Kochi Region","Alleppey Division","Kainakary East BO","688501","BO","Delivery","ALAPPUZHA","KERALA","9.5150500","76.3926700"
"Kerala Circle","Kochi Region","Alleppey Division","Narakathara BO","688506","BO","Delivery","ALAPPUZHA","KERALA","9.4601500","76.4812900"
"Kerala Circle","Kochi Region","Alleppey Division","Aryad North BO","688538","BO","Delivery","ALAPPUZHA","KERALA","9.5430000","76.3490000"
"Kerala Circle","Kochi Region","Alleppey Division","Kannady BO","688504","BO","Delivery","ALAPPUZHA","KERALA","9.4630000","76.4430000"
"Kerala Circle","Kochi Region","Alleppey Division","Kayalpuram BO","688504","BO","Non Delivery","ALAPPUZHA","KERALA","9.4533700","76.4314600"
"Kerala Circle","Kochi Region","Alleppey Division","Chandiroor BO","688537","BO","Delivery","ALAPPUZHA","KERALA","9.8410000","76.3090000"
"Kerala Circle","Kochi Region","Alleppey Division","Ezhupunna BO","688537","BO","Delivery","ALAPPUZHA","KERALA","9.8230000","76.3080000"
"Kerala Circle","Kochi Region","Alleppey Division","Cherthala South BO","688539","BO","Delivery","ALAPPUZHA","KERALA","9.6530000","76.3120000"
"Kerala Circle","Kochi Region","Alleppey Division","Vadackal BO","688003","BO","Delivery","ALAPPUZHA","KERALA","9.4602000","76.3321900"
"Kerala Circle","Kochi Region","Alwaye Division","Vellarappilly South BO","683580","BO","Delivery","ERNAKULAM","KERALA","10.1334634","76.3976648"
"Kerala Circle","Kochi Region","Alwaye Division","Mutholapuram BO","686665","BO","Delivery","ERNAKULAM","KERALA","9.8316007","76.5695786"
"Kerala Circle","Kochi Region","Alwaye Division","Perumbadavam BO","686665","BO","Delivery","ERNAKULAM","KERALA","9.8338122","76.5187834"
"Kerala Circle","Kochi Region","Alwaye Division","Ayavana BO","686668","BO","Delivery","ERNAKULAM","KERALA","9.9848999","76.6382149"
"Kerala Circle","Kochi Region","Alwaye Division","Kadayirippu BO","682311","BO","Delivery","ERNAKULAM","KERALA","10.0005020","76.4582669"
"Kerala Circle","Kochi Region","Alwaye Division","Kinginimattom BO","682311","BO","Delivery","ERNAKULAM","KERALA","9.9632079","76.4666032"
"Kerala Circle","Kochi Region","Alwaye Division","Edayar BO","686662","BO","Delivery","ERNAKULAM","KERALA","9.8713310","76.5509802"
"Kerala Circle","Kochi Region","Alwaye Division","Karimpana BO","686662","BO","Delivery","ERNAKULAM","KERALA","9.8912490","76.5894591"
"Kerala Circle","Kochi Region","Alwaye Division","Marika BO","686662","BO","Delivery","ERNAKULAM","KERALA","9.8874392","76.6275519"
"Kerala Circle","Kochi Region","Alwaye Division","Palakuzha BO","686662","BO","Delivery","ERNAKULAM","KERALA","9.8808673","76.6062149"
"Kerala Circle","Kochi Region","Alwaye Division","Manary BO","686673","BO","Delivery","ERNAKULAM","KERALA","10.0431740","76.5640180"
"Kerala Circle","Kochi Region","Alwaye Division","Perumballoor BO","686673","BO","Delivery","ERNAKULAM","KERALA","9.9536040","76.5927410"
"Kerala Circle","Kochi Region","Ernakulam Division","Kureekad BO","682305","BO","Delivery","ERNAKULAM","KERALA","9.9291300","76.3759311"
"Kerala Circle","Kochi Region","Ernakulam Division","Mamala BO","682305","BO","Delivery","ERNAKULAM","KERALA","9.9489037","76.3785909"
"Kerala Circle","Kochi Region","Ernakulam Division","Kochi Palace BO","682301","BO","Delivery","ERNAKULAM","KERALA","9.9511374","76.3610699"
"Kerala Circle","Kochi Region","Ernakulam Division","South Paravoor BO","682307","BO","Delivery","ERNAKULAM","KERALA","9.8634431","76.3821203"
"Kerala Circle","Kochi Region","Alwaye Division","Vilangu BO","683561","BO","Delivery","ERNAKULAM","KERALA","10.0599192","76.4197815"
"Kerala Circle","Kochi Region","Alwaye Division","Kottuvally BO","683519","BO","Non Delivery","ERNAKULAM","KERALA","10.1193299","76.2465119"
